href,title,description,authors,date_published
/articles/s41598-017-07359-6,Perfluoroalkyl substances in human bone: concentrations in bones and effects on bone cell differentiation,"Maurizio and Masid et al. identify common host metabolic pathways essential forPlasmodium falciparumandTheileriaparasites, revealing potential for developing shared broad-spectrum antiparasitic therapies to more effectively combat these debilitating infections.","nature, search, A. Koskela, J. Koponen, J. Tuukkanen, Marina Maurizio, Maria Masid, Philipp Olias, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Virginie Girault, Vianney Gilard, Soumeya Bekri, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Ye Zhang, Nobutaka Mitsuda, Tatsuo Kakimoto, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, A Nakanome, A Brydun, K Igarashi",28 Jul 2017
/articles/s41467-024-50405-x,Host cell CRISPR genomics and modelling reveal shared metabolic vulnerabilities in the intracellular development of Plasmodium falciparum and related hemoparasites,"Maurizio and Masid et al. identify common host metabolic pathways essential forPlasmodium falciparumandTheileriaparasites, revealing potential for developing shared broad-spectrum antiparasitic therapies to more effectively combat these debilitating infections.","nature, search, A. Koskela, J. Koponen, J. Tuukkanen, Marina Maurizio, Maria Masid, Philipp Olias, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Virginie Girault, Vianney Gilard, Soumeya Bekri, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Ye Zhang, Nobutaka Mitsuda, Tatsuo Kakimoto, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, A Nakanome, A Brydun, K Igarashi",28 Jul 2017
/articles/s41467-021-21516-6,The secreted endoribonuclease ENDU-2 from the soma protects germline immortality in C. elegans,"The question as to how the soma regulates the germline has been much studied. Here, the authors show inC. elegansthat the poly-U specific endoribonuclease ENDU-2 is secreted from the soma and taken-up by the germline, binding mature mRNA, repressing expression of somatic transcripts and maintaining germline immortality.","nature, search, A. Koskela, J. Koponen, J. Tuukkanen, Marina Maurizio, Maria Masid, Philipp Olias, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Virginie Girault, Vianney Gilard, Soumeya Bekri, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Ye Zhang, Nobutaka Mitsuda, Tatsuo Kakimoto, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, A Nakanome, A Brydun, K Igarashi",28 Jul 2017
/articles/cddis201729,Prenatal alcohol exposure impairs autophagy in neonatal brain cortical microvessels,"Metabolomics analysis reveals that inosine monophosphate, a purine metabolite, promotes myelopoiesis and contributes to severe acute pancreatitis in db/db mice.","nature, search, A. Koskela, J. Koponen, J. Tuukkanen, Marina Maurizio, Maria Masid, Philipp Olias, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Virginie Girault, Vianney Gilard, Soumeya Bekri, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Ye Zhang, Nobutaka Mitsuda, Tatsuo Kakimoto, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, A Nakanome, A Brydun, K Igarashi",28 Jul 2017
/articles/s42003-022-04041-0,The purine metabolite inosine monophosphate accelerates myelopoiesis and acute pancreatitis progression,"Metabolomics analysis reveals that inosine monophosphate, a purine metabolite, promotes myelopoiesis and contributes to severe acute pancreatitis in db/db mice.","nature, search, A. Koskela, J. Koponen, J. Tuukkanen, Marina Maurizio, Maria Masid, Philipp Olias, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Virginie Girault, Vianney Gilard, Soumeya Bekri, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Ye Zhang, Nobutaka Mitsuda, Tatsuo Kakimoto, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, A Nakanome, A Brydun, K Igarashi",28 Jul 2017
/articles/s44161-022-00117-6,Integrated landscape of cardiac metabolism in end-stage human nonischemic dilated cardiomyopathy,"Arany and colleagues integrate metabolomics data, tissue RNA-sequencing data and proteomics data from explanted hearts of patients with end-stage heart failure to provide a comprehensive ‘multi-omic’ evaluation of the metabolic pathways affected by heart failure.","nature, search, A. Koskela, J. Koponen, J. Tuukkanen, Marina Maurizio, Maria Masid, Philipp Olias, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Virginie Girault, Vianney Gilard, Soumeya Bekri, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Ye Zhang, Nobutaka Mitsuda, Tatsuo Kakimoto, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, A Nakanome, A Brydun, K Igarashi",28 Jul 2017
/articles/s41598-022-07397-9,Reduced ech-6 expression attenuates fat-induced lifespan shortening in C. elegans,"InArabidopsis, xylem pole pericycle cells produce lateral roots. Here, two subfamilies of bHLH transcription factors are characterized. They confer to these pericycle cells the ability to re-activate cell division and initiate lateral roots.","nature, search, A. Koskela, J. Koponen, J. Tuukkanen, Marina Maurizio, Maria Masid, Philipp Olias, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Virginie Girault, Vianney Gilard, Soumeya Bekri, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Ye Zhang, Nobutaka Mitsuda, Tatsuo Kakimoto, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, A Nakanome, A Brydun, K Igarashi",28 Jul 2017
/articles/s41598-023-49364-y,Machine learning identifies phenotypic profile alterations of human dopaminergic neurons exposed to bisphenols and perfluoroalkyls,"InArabidopsis, xylem pole pericycle cells produce lateral roots. Here, two subfamilies of bHLH transcription factors are characterized. They confer to these pericycle cells the ability to re-activate cell division and initiate lateral roots.","nature, search, A. Koskela, J. Koponen, J. Tuukkanen, Marina Maurizio, Maria Masid, Philipp Olias, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Virginie Girault, Vianney Gilard, Soumeya Bekri, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Ye Zhang, Nobutaka Mitsuda, Tatsuo Kakimoto, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, A Nakanome, A Brydun, K Igarashi",28 Jul 2017
/articles/s41477-021-00919-9,Two types of bHLH transcription factor determine the competence of the pericycle for lateral root initiation,"InArabidopsis, xylem pole pericycle cells produce lateral roots. Here, two subfamilies of bHLH transcription factors are characterized. They confer to these pericycle cells the ability to re-activate cell division and initiate lateral roots.","nature, search, A. Koskela, J. Koponen, J. Tuukkanen, Marina Maurizio, Maria Masid, Philipp Olias, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Virginie Girault, Vianney Gilard, Soumeya Bekri, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Ye Zhang, Nobutaka Mitsuda, Tatsuo Kakimoto, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, A Nakanome, A Brydun, K Igarashi",28 Jul 2017
/articles/s41375-023-01971-4,Genetic and chemical targeting of the ATPase complex TIP48 and 49 impairs acute myeloid leukemia,,"nature, search, A. Koskela, J. Koponen, J. Tuukkanen, Marina Maurizio, Maria Masid, Philipp Olias, Wenjing Qi, Erika D. V. Gromoff, Ralf Baumeister, Virginie Girault, Vianney Gilard, Soumeya Bekri, Xiao-Min Luo, Sin Man Lam, Ying-Mei Feng, Emily Flam, Cholsoon Jang, Zolt Arany, Yasmine J. Liu, Arwen W. Gao, Riekelt H. Houtkooper, Andrea Di Credico, Amélie Weiss, Angela Di Baldassarre, Ye Zhang, Nobutaka Mitsuda, Tatsuo Kakimoto, Ayuna Hattori, Emi Takamatsu-Ichihara, Issay Kitabayashi, A Nakanome, A Brydun, K Igarashi",28 Jul 2017
