href,title,description,authors,date_published
/articles/s41467-019-10115-1,Bacterial hopping and trapping in porous media,"Many bacteria swim with run-and-tumble motion in unconfined fluid. Here the authors report that confinement of these bacteria in a 3D porous medium changes this motion into hopping and trapping, in which the cells are intermittently and transiently trapped as they navigate the pore space.","nature, search, Tapomoy Bhattacharjee, Sujit S. Datta, Agustina Taglialegna, Xueke Yang, Rishi Parashar, Ryan T. Kelly, Mirko Stauffer, Zöhre Ucurum, Dimitrios Fotiadis, Xue Guo, Jianxiu Zhang, Liang Feng, Nitesh Kumar Khandelwal, Cinthia R. Millan, Thomas M. Tomasiak, Kamolrat Somboon, Anne Doble, Bert van den Berg, Pietro de Anna, Amir A. Pahlavan, Ruben Juanes, Sukanya Luang, Xavier Fernández-Luengo, Maria Hrmova, Haoran Xu, Justas Dauparas, Yilin Wu, Francisca Guzmán-Lastra, Hartmut Löwen, Arnold J. T. M. Mathijssen, Eleonora Secchi, Alessandra Vitale, Roman Stocker, Lejla Zubcevic, Shizhen Wang, Stephen J. Tucker, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, William Kuipou, Alidou Mohamadou, Reinhart A F Reithmeier, Trevor F Moraes, Matthew McDougall, Olga Francisco, Jörg Stetefeld, Christian Titus Kreis, Marine Le Blay, Oliver Bäumchen, Goutam Mukherjee, Prajwal P. Nandekar, Rebecca C. Wade, J. Dikec, A. Olivier, E. Herbert, Mayura Veerana, Jun-Sup Lim, Gyungsoon Park, Mehdi Molaei, Jian Sheng, Akihiro Okamoto, Shafeer Kalathil, Kenneth H. Nealson, Sanela Lampa-Pastirk, Joshua P. Veazey, Gemma Reguera, Giorgio Volpe, Clemens Bechinger, Giovanni Volpe",06 May 2019
/articles/s41579-023-00971-6,Feasting on hydrocarbons via dendritic biofilms,"In this study, Prasad et al. show thatAlcanivorax borkumensisoptimizes oil consumption via formation of tubular biofilms.","nature, search, Tapomoy Bhattacharjee, Sujit S. Datta, Agustina Taglialegna, Xueke Yang, Rishi Parashar, Ryan T. Kelly, Mirko Stauffer, Zöhre Ucurum, Dimitrios Fotiadis, Xue Guo, Jianxiu Zhang, Liang Feng, Nitesh Kumar Khandelwal, Cinthia R. Millan, Thomas M. Tomasiak, Kamolrat Somboon, Anne Doble, Bert van den Berg, Pietro de Anna, Amir A. Pahlavan, Ruben Juanes, Sukanya Luang, Xavier Fernández-Luengo, Maria Hrmova, Haoran Xu, Justas Dauparas, Yilin Wu, Francisca Guzmán-Lastra, Hartmut Löwen, Arnold J. T. M. Mathijssen, Eleonora Secchi, Alessandra Vitale, Roman Stocker, Lejla Zubcevic, Shizhen Wang, Stephen J. Tucker, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, William Kuipou, Alidou Mohamadou, Reinhart A F Reithmeier, Trevor F Moraes, Matthew McDougall, Olga Francisco, Jörg Stetefeld, Christian Titus Kreis, Marine Le Blay, Oliver Bäumchen, Goutam Mukherjee, Prajwal P. Nandekar, Rebecca C. Wade, J. Dikec, A. Olivier, E. Herbert, Mayura Veerana, Jun-Sup Lim, Gyungsoon Park, Mehdi Molaei, Jian Sheng, Akihiro Okamoto, Shafeer Kalathil, Kenneth H. Nealson, Sanela Lampa-Pastirk, Joshua P. Veazey, Gemma Reguera, Giorgio Volpe, Clemens Bechinger, Giovanni Volpe",06 May 2019
/articles/s41598-019-51271-0,On Modeling Ensemble Transport of Metal Reducing Motile Bacteria,"Alkane monooxygenase (AlkB) plays a key role in the global carbon cycle and remediation of oil spills. Here, the authors report the cryo-EM structure of AlkB to provide insight into the catalytic mechanism and substrate selectivity.","nature, search, Tapomoy Bhattacharjee, Sujit S. Datta, Agustina Taglialegna, Xueke Yang, Rishi Parashar, Ryan T. Kelly, Mirko Stauffer, Zöhre Ucurum, Dimitrios Fotiadis, Xue Guo, Jianxiu Zhang, Liang Feng, Nitesh Kumar Khandelwal, Cinthia R. Millan, Thomas M. Tomasiak, Kamolrat Somboon, Anne Doble, Bert van den Berg, Pietro de Anna, Amir A. Pahlavan, Ruben Juanes, Sukanya Luang, Xavier Fernández-Luengo, Maria Hrmova, Haoran Xu, Justas Dauparas, Yilin Wu, Francisca Guzmán-Lastra, Hartmut Löwen, Arnold J. T. M. Mathijssen, Eleonora Secchi, Alessandra Vitale, Roman Stocker, Lejla Zubcevic, Shizhen Wang, Stephen J. Tucker, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, William Kuipou, Alidou Mohamadou, Reinhart A F Reithmeier, Trevor F Moraes, Matthew McDougall, Olga Francisco, Jörg Stetefeld, Christian Titus Kreis, Marine Le Blay, Oliver Bäumchen, Goutam Mukherjee, Prajwal P. Nandekar, Rebecca C. Wade, J. Dikec, A. Olivier, E. Herbert, Mayura Veerana, Jun-Sup Lim, Gyungsoon Park, Mehdi Molaei, Jian Sheng, Akihiro Okamoto, Shafeer Kalathil, Kenneth H. Nealson, Sanela Lampa-Pastirk, Joshua P. Veazey, Gemma Reguera, Giorgio Volpe, Clemens Bechinger, Giovanni Volpe",06 May 2019
/articles/s41598-021-96298-4,Engineering and functional characterization of a proton-driven β-lactam antibiotic translocation module for bionanotechnological applications,"Alkane monooxygenase (AlkB) plays a key role in the global carbon cycle and remediation of oil spills. Here, the authors report the cryo-EM structure of AlkB to provide insight into the catalytic mechanism and substrate selectivity.","nature, search, Tapomoy Bhattacharjee, Sujit S. Datta, Agustina Taglialegna, Xueke Yang, Rishi Parashar, Ryan T. Kelly, Mirko Stauffer, Zöhre Ucurum, Dimitrios Fotiadis, Xue Guo, Jianxiu Zhang, Liang Feng, Nitesh Kumar Khandelwal, Cinthia R. Millan, Thomas M. Tomasiak, Kamolrat Somboon, Anne Doble, Bert van den Berg, Pietro de Anna, Amir A. Pahlavan, Ruben Juanes, Sukanya Luang, Xavier Fernández-Luengo, Maria Hrmova, Haoran Xu, Justas Dauparas, Yilin Wu, Francisca Guzmán-Lastra, Hartmut Löwen, Arnold J. T. M. Mathijssen, Eleonora Secchi, Alessandra Vitale, Roman Stocker, Lejla Zubcevic, Shizhen Wang, Stephen J. Tucker, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, William Kuipou, Alidou Mohamadou, Reinhart A F Reithmeier, Trevor F Moraes, Matthew McDougall, Olga Francisco, Jörg Stetefeld, Christian Titus Kreis, Marine Le Blay, Oliver Bäumchen, Goutam Mukherjee, Prajwal P. Nandekar, Rebecca C. Wade, J. Dikec, A. Olivier, E. Herbert, Mayura Veerana, Jun-Sup Lim, Gyungsoon Park, Mehdi Molaei, Jian Sheng, Akihiro Okamoto, Shafeer Kalathil, Kenneth H. Nealson, Sanela Lampa-Pastirk, Joshua P. Veazey, Gemma Reguera, Giorgio Volpe, Clemens Bechinger, Giovanni Volpe",06 May 2019
/articles/s41467-023-37869-z,Structure and mechanism of the alkane-oxidizing enzyme AlkB,"Alkane monooxygenase (AlkB) plays a key role in the global carbon cycle and remediation of oil spills. Here, the authors report the cryo-EM structure of AlkB to provide insight into the catalytic mechanism and substrate selectivity.","nature, search, Tapomoy Bhattacharjee, Sujit S. Datta, Agustina Taglialegna, Xueke Yang, Rishi Parashar, Ryan T. Kelly, Mirko Stauffer, Zöhre Ucurum, Dimitrios Fotiadis, Xue Guo, Jianxiu Zhang, Liang Feng, Nitesh Kumar Khandelwal, Cinthia R. Millan, Thomas M. Tomasiak, Kamolrat Somboon, Anne Doble, Bert van den Berg, Pietro de Anna, Amir A. Pahlavan, Ruben Juanes, Sukanya Luang, Xavier Fernández-Luengo, Maria Hrmova, Haoran Xu, Justas Dauparas, Yilin Wu, Francisca Guzmán-Lastra, Hartmut Löwen, Arnold J. T. M. Mathijssen, Eleonora Secchi, Alessandra Vitale, Roman Stocker, Lejla Zubcevic, Shizhen Wang, Stephen J. Tucker, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, William Kuipou, Alidou Mohamadou, Reinhart A F Reithmeier, Trevor F Moraes, Matthew McDougall, Olga Francisco, Jörg Stetefeld, Christian Titus Kreis, Marine Le Blay, Oliver Bäumchen, Goutam Mukherjee, Prajwal P. Nandekar, Rebecca C. Wade, J. Dikec, A. Olivier, E. Herbert, Mayura Veerana, Jun-Sup Lim, Gyungsoon Park, Mehdi Molaei, Jian Sheng, Akihiro Okamoto, Shafeer Kalathil, Kenneth H. Nealson, Sanela Lampa-Pastirk, Joshua P. Veazey, Gemma Reguera, Giorgio Volpe, Clemens Bechinger, Giovanni Volpe",06 May 2019
/articles/s41467-022-28811-w,The structural basis for regulation of the glutathione transporter Ycf1 by regulatory domain phosphorylation,"Ycf1, a C-family member ATP Binding Cassette (ABC) transporter, transports glutathione and glutathione-metal complexes in yeast. Here the authors use cryo-EM and biochemical analysis to show how an intrinsically-disordered regulatory domain (R-domain) controls activity upon phosphorylation by engaging with a Nucleotide Binding Domain.","nature, search, Tapomoy Bhattacharjee, Sujit S. Datta, Agustina Taglialegna, Xueke Yang, Rishi Parashar, Ryan T. Kelly, Mirko Stauffer, Zöhre Ucurum, Dimitrios Fotiadis, Xue Guo, Jianxiu Zhang, Liang Feng, Nitesh Kumar Khandelwal, Cinthia R. Millan, Thomas M. Tomasiak, Kamolrat Somboon, Anne Doble, Bert van den Berg, Pietro de Anna, Amir A. Pahlavan, Ruben Juanes, Sukanya Luang, Xavier Fernández-Luengo, Maria Hrmova, Haoran Xu, Justas Dauparas, Yilin Wu, Francisca Guzmán-Lastra, Hartmut Löwen, Arnold J. T. M. Mathijssen, Eleonora Secchi, Alessandra Vitale, Roman Stocker, Lejla Zubcevic, Shizhen Wang, Stephen J. Tucker, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, William Kuipou, Alidou Mohamadou, Reinhart A F Reithmeier, Trevor F Moraes, Matthew McDougall, Olga Francisco, Jörg Stetefeld, Christian Titus Kreis, Marine Le Blay, Oliver Bäumchen, Goutam Mukherjee, Prajwal P. Nandekar, Rebecca C. Wade, J. Dikec, A. Olivier, E. Herbert, Mayura Veerana, Jun-Sup Lim, Gyungsoon Park, Mehdi Molaei, Jian Sheng, Akihiro Okamoto, Shafeer Kalathil, Kenneth H. Nealson, Sanela Lampa-Pastirk, Joshua P. Veazey, Gemma Reguera, Giorgio Volpe, Clemens Bechinger, Giovanni Volpe",06 May 2019
/articles/s41467-020-20126-y,Uptake of monoaromatic hydrocarbons during biodegradation by FadL channel-mediated lateral diffusion,"The uptake of hydrophobic molecules by bacterial FadL channels is implicated in quorum sensing, interactions with eukaryotic hosts and biodegradation of many pollutants. Insights into monoaromatic hydrocarbon uptake by TodX and CymD channels suggest that all FadL channels mediate substrate uptake via lateral diffusion.","nature, search, Tapomoy Bhattacharjee, Sujit S. Datta, Agustina Taglialegna, Xueke Yang, Rishi Parashar, Ryan T. Kelly, Mirko Stauffer, Zöhre Ucurum, Dimitrios Fotiadis, Xue Guo, Jianxiu Zhang, Liang Feng, Nitesh Kumar Khandelwal, Cinthia R. Millan, Thomas M. Tomasiak, Kamolrat Somboon, Anne Doble, Bert van den Berg, Pietro de Anna, Amir A. Pahlavan, Ruben Juanes, Sukanya Luang, Xavier Fernández-Luengo, Maria Hrmova, Haoran Xu, Justas Dauparas, Yilin Wu, Francisca Guzmán-Lastra, Hartmut Löwen, Arnold J. T. M. Mathijssen, Eleonora Secchi, Alessandra Vitale, Roman Stocker, Lejla Zubcevic, Shizhen Wang, Stephen J. Tucker, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, William Kuipou, Alidou Mohamadou, Reinhart A F Reithmeier, Trevor F Moraes, Matthew McDougall, Olga Francisco, Jörg Stetefeld, Christian Titus Kreis, Marine Le Blay, Oliver Bäumchen, Goutam Mukherjee, Prajwal P. Nandekar, Rebecca C. Wade, J. Dikec, A. Olivier, E. Herbert, Mayura Veerana, Jun-Sup Lim, Gyungsoon Park, Mehdi Molaei, Jian Sheng, Akihiro Okamoto, Shafeer Kalathil, Kenneth H. Nealson, Sanela Lampa-Pastirk, Joshua P. Veazey, Gemma Reguera, Giorgio Volpe, Clemens Bechinger, Giovanni Volpe",06 May 2019
/articles/s41567-020-1002-x,Chemotaxis under flow disorder shapes microbial dispersion in porous media,"Bacteria live in heterogeneous environments, so it is important to investigate their behaviour in porous media. Here the authors show that flow disorder enhances the effect of chemical gradients in micropockets in a porous medium, which then aid the transport of bacteria.","nature, search, Tapomoy Bhattacharjee, Sujit S. Datta, Agustina Taglialegna, Xueke Yang, Rishi Parashar, Ryan T. Kelly, Mirko Stauffer, Zöhre Ucurum, Dimitrios Fotiadis, Xue Guo, Jianxiu Zhang, Liang Feng, Nitesh Kumar Khandelwal, Cinthia R. Millan, Thomas M. Tomasiak, Kamolrat Somboon, Anne Doble, Bert van den Berg, Pietro de Anna, Amir A. Pahlavan, Ruben Juanes, Sukanya Luang, Xavier Fernández-Luengo, Maria Hrmova, Haoran Xu, Justas Dauparas, Yilin Wu, Francisca Guzmán-Lastra, Hartmut Löwen, Arnold J. T. M. Mathijssen, Eleonora Secchi, Alessandra Vitale, Roman Stocker, Lejla Zubcevic, Shizhen Wang, Stephen J. Tucker, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, William Kuipou, Alidou Mohamadou, Reinhart A F Reithmeier, Trevor F Moraes, Matthew McDougall, Olga Francisco, Jörg Stetefeld, Christian Titus Kreis, Marine Le Blay, Oliver Bäumchen, Goutam Mukherjee, Prajwal P. Nandekar, Rebecca C. Wade, J. Dikec, A. Olivier, E. Herbert, Mayura Veerana, Jun-Sup Lim, Gyungsoon Park, Mehdi Molaei, Jian Sheng, Akihiro Okamoto, Shafeer Kalathil, Kenneth H. Nealson, Sanela Lampa-Pastirk, Joshua P. Veazey, Gemma Reguera, Giorgio Volpe, Clemens Bechinger, Giovanni Volpe",06 May 2019
/articles/s41467-022-33180-5,The evolutionary advantage of an aromatic clamp in plant family 3 glycoside exo-hydrolases,"Barley β-d-glucan glucohydrolase is a glycoside hydrolase family 3 (GH3) enzyme critical for growth and development. Here the authors carryout mutagenesis, structural analyses and multi-scale molecular dynamics to examine the binding and conformational behaviour of several β-d-glucosides during the substrate-product assisted catalysis that operates in GH3 hydrolases.","nature, search, Tapomoy Bhattacharjee, Sujit S. Datta, Agustina Taglialegna, Xueke Yang, Rishi Parashar, Ryan T. Kelly, Mirko Stauffer, Zöhre Ucurum, Dimitrios Fotiadis, Xue Guo, Jianxiu Zhang, Liang Feng, Nitesh Kumar Khandelwal, Cinthia R. Millan, Thomas M. Tomasiak, Kamolrat Somboon, Anne Doble, Bert van den Berg, Pietro de Anna, Amir A. Pahlavan, Ruben Juanes, Sukanya Luang, Xavier Fernández-Luengo, Maria Hrmova, Haoran Xu, Justas Dauparas, Yilin Wu, Francisca Guzmán-Lastra, Hartmut Löwen, Arnold J. T. M. Mathijssen, Eleonora Secchi, Alessandra Vitale, Roman Stocker, Lejla Zubcevic, Shizhen Wang, Stephen J. Tucker, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, William Kuipou, Alidou Mohamadou, Reinhart A F Reithmeier, Trevor F Moraes, Matthew McDougall, Olga Francisco, Jörg Stetefeld, Christian Titus Kreis, Marine Le Blay, Oliver Bäumchen, Goutam Mukherjee, Prajwal P. Nandekar, Rebecca C. Wade, J. Dikec, A. Olivier, E. Herbert, Mayura Veerana, Jun-Sup Lim, Gyungsoon Park, Mehdi Molaei, Jian Sheng, Akihiro Okamoto, Shafeer Kalathil, Kenneth H. Nealson, Sanela Lampa-Pastirk, Joshua P. Veazey, Gemma Reguera, Giorgio Volpe, Clemens Bechinger, Giovanni Volpe",06 May 2019
/articles/s41467-019-09818-2,Self-organization of swimmers drives long-range fluid transport in bacterial colonies,"Motile and non-motile subpopulations often coexist in bacterial communities. Here, Xu et al. show that motile cells in colonies of common flagellated bacteria can self-organize into two adjacent motile rings, driving stable flows of fluid and materials around the colony.","nature, search, Tapomoy Bhattacharjee, Sujit S. Datta, Agustina Taglialegna, Xueke Yang, Rishi Parashar, Ryan T. Kelly, Mirko Stauffer, Zöhre Ucurum, Dimitrios Fotiadis, Xue Guo, Jianxiu Zhang, Liang Feng, Nitesh Kumar Khandelwal, Cinthia R. Millan, Thomas M. Tomasiak, Kamolrat Somboon, Anne Doble, Bert van den Berg, Pietro de Anna, Amir A. Pahlavan, Ruben Juanes, Sukanya Luang, Xavier Fernández-Luengo, Maria Hrmova, Haoran Xu, Justas Dauparas, Yilin Wu, Francisca Guzmán-Lastra, Hartmut Löwen, Arnold J. T. M. Mathijssen, Eleonora Secchi, Alessandra Vitale, Roman Stocker, Lejla Zubcevic, Shizhen Wang, Stephen J. Tucker, Tanja Pajić, Nataša V. Todorović, Aleksandar J. Krmpot, William Kuipou, Alidou Mohamadou, Reinhart A F Reithmeier, Trevor F Moraes, Matthew McDougall, Olga Francisco, Jörg Stetefeld, Christian Titus Kreis, Marine Le Blay, Oliver Bäumchen, Goutam Mukherjee, Prajwal P. Nandekar, Rebecca C. Wade, J. Dikec, A. Olivier, E. Herbert, Mayura Veerana, Jun-Sup Lim, Gyungsoon Park, Mehdi Molaei, Jian Sheng, Akihiro Okamoto, Shafeer Kalathil, Kenneth H. Nealson, Sanela Lampa-Pastirk, Joshua P. Veazey, Gemma Reguera, Giorgio Volpe, Clemens Bechinger, Giovanni Volpe",06 May 2019
