href,title,description,authors,date_published
/articles/s41467-024-49581-7,Amyloid formation and depolymerization of tumor suppressor p16INK4a are regulated by a thiol-dependent redox mechanism,"The conversion of a soluble protein into polymeric amyloid structures is poorly understood. Here the authors report that the tumor suppressor protein p16INK4achanges its structure upon oxidation to form aggregated amyloid fibrils, which are fully reversible upon disulfide bond reduction.","nature, search, Sarah G. Heath, Shelby G. Gray, Christoph Göbl, Shang Dai, Zhenming Xie, Bing Tian, Noha A. M. Shendy, Melissa Bikowitz, Adam D. Durbin, Johannes Gregor Matthias Rack, Qiang Liu, Ivan Ahel, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Daniel R. Dempsey, Thibault Viennet, Philip A. Cole, Yi Zhang, Yiran Guo, Tatiana G. Kutateladze, Camilo E. Quevedo, Abimael Cruz-Migoni, Terence H. Rabbitts, Lihu Gong, Xiuli Liu, Xin Liu, Zachary R. Adam, Albert C. Fahrenbach, Dmitry Yu. Zubarev, Tomas Lindahl, Zhan Li, Chunmei Wang, An Wenzhen, Nathália Villa dos Santos, Carolina Leticia Zilli Vieira, Petros Koutrakis, Maria Luisa Astolfi, Lorenzo Massimi, Marcelo Enrique Conti, Joanna L. Denbigh, David Perez-Guaita, Bayden R. Wood, Philip Heraud, Katarzyna Maria Marzec, Bayden R. Wood, Tiina Belt, Michael Altgen, Lauri Rautkari, Junyi Li, Meiping Tian, Francis L. Martin",01 Jul 2024
/articles/s41467-023-43272-5,An inorganic mineral-based protocell with prebiotic radiation fitness,"Protocell’s survival and fitness under prebiotic radiations are elusive. Here, the authors present a radioresistant protocell model based on the assembly of two types of coacervate droplets, formed through interactions of inorganic polyphosphate with manganese and cationic tripeptide, respectively, and show that nonenzymatic Mn antioxidants are essential for its resistance to radiation.","nature, search, Sarah G. Heath, Shelby G. Gray, Christoph Göbl, Shang Dai, Zhenming Xie, Bing Tian, Noha A. M. Shendy, Melissa Bikowitz, Adam D. Durbin, Johannes Gregor Matthias Rack, Qiang Liu, Ivan Ahel, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Daniel R. Dempsey, Thibault Viennet, Philip A. Cole, Yi Zhang, Yiran Guo, Tatiana G. Kutateladze, Camilo E. Quevedo, Abimael Cruz-Migoni, Terence H. Rabbitts, Lihu Gong, Xiuli Liu, Xin Liu, Zachary R. Adam, Albert C. Fahrenbach, Dmitry Yu. Zubarev, Tomas Lindahl, Zhan Li, Chunmei Wang, An Wenzhen, Nathália Villa dos Santos, Carolina Leticia Zilli Vieira, Petros Koutrakis, Maria Luisa Astolfi, Lorenzo Massimi, Marcelo Enrique Conti, Joanna L. Denbigh, David Perez-Guaita, Bayden R. Wood, Philip Heraud, Katarzyna Maria Marzec, Bayden R. Wood, Tiina Belt, Michael Altgen, Lauri Rautkari, Junyi Li, Meiping Tian, Francis L. Martin",01 Jul 2024
/articles/s41467-024-47102-0,Group 3 medulloblastoma transcriptional networks collapse under domain specific EP300/CBP inhibition,"The differential effects of targeting individual domains of multidomain enzymatic proteins are generally poorly understood. Here, the authors demonstrate lineage-specific sensitivities to domain-specific inhibition of EP300/CBP proteins across cancer and link these effects in group 3 medulloblastoma to control of a transcriptional dependency network.","nature, search, Sarah G. Heath, Shelby G. Gray, Christoph Göbl, Shang Dai, Zhenming Xie, Bing Tian, Noha A. M. Shendy, Melissa Bikowitz, Adam D. Durbin, Johannes Gregor Matthias Rack, Qiang Liu, Ivan Ahel, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Daniel R. Dempsey, Thibault Viennet, Philip A. Cole, Yi Zhang, Yiran Guo, Tatiana G. Kutateladze, Camilo E. Quevedo, Abimael Cruz-Migoni, Terence H. Rabbitts, Lihu Gong, Xiuli Liu, Xin Liu, Zachary R. Adam, Albert C. Fahrenbach, Dmitry Yu. Zubarev, Tomas Lindahl, Zhan Li, Chunmei Wang, An Wenzhen, Nathália Villa dos Santos, Carolina Leticia Zilli Vieira, Petros Koutrakis, Maria Luisa Astolfi, Lorenzo Massimi, Marcelo Enrique Conti, Joanna L. Denbigh, David Perez-Guaita, Bayden R. Wood, Philip Heraud, Katarzyna Maria Marzec, Bayden R. Wood, Tiina Belt, Michael Altgen, Lauri Rautkari, Junyi Li, Meiping Tian, Francis L. Martin",01 Jul 2024
/articles/s41467-021-24723-3,Mechanistic insights into the three steps of poly(ADP-ribosylation) reversal,"PARG and ARH3 are the main hydrolases to reverse serine poly(ADP-ribosylation) yet their activities in the process differ. Here, the authors synthesise linear and branched poly(ADP-ribose) molecules, perform structure-function analysis and elucidate the mechanistic differences between PARG and ARH3.","nature, search, Sarah G. Heath, Shelby G. Gray, Christoph Göbl, Shang Dai, Zhenming Xie, Bing Tian, Noha A. M. Shendy, Melissa Bikowitz, Adam D. Durbin, Johannes Gregor Matthias Rack, Qiang Liu, Ivan Ahel, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Daniel R. Dempsey, Thibault Viennet, Philip A. Cole, Yi Zhang, Yiran Guo, Tatiana G. Kutateladze, Camilo E. Quevedo, Abimael Cruz-Migoni, Terence H. Rabbitts, Lihu Gong, Xiuli Liu, Xin Liu, Zachary R. Adam, Albert C. Fahrenbach, Dmitry Yu. Zubarev, Tomas Lindahl, Zhan Li, Chunmei Wang, An Wenzhen, Nathália Villa dos Santos, Carolina Leticia Zilli Vieira, Petros Koutrakis, Maria Luisa Astolfi, Lorenzo Massimi, Marcelo Enrique Conti, Joanna L. Denbigh, David Perez-Guaita, Bayden R. Wood, Philip Heraud, Katarzyna Maria Marzec, Bayden R. Wood, Tiina Belt, Michael Altgen, Lauri Rautkari, Junyi Li, Meiping Tian, Francis L. Martin",01 Jul 2024
/articles/s41467-021-24312-4,Efficient long-range conduction in cable bacteria through nickel protein wires,"Filamentous cable bacteria conduct electrical currents over centimeter distances through fibers embedded in their cell envelope. Here, Boschker et al. show that the fibers consist of a conductive core containing nickel proteins that is surrounded by an insulating protein shell.","nature, search, Sarah G. Heath, Shelby G. Gray, Christoph Göbl, Shang Dai, Zhenming Xie, Bing Tian, Noha A. M. Shendy, Melissa Bikowitz, Adam D. Durbin, Johannes Gregor Matthias Rack, Qiang Liu, Ivan Ahel, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Daniel R. Dempsey, Thibault Viennet, Philip A. Cole, Yi Zhang, Yiran Guo, Tatiana G. Kutateladze, Camilo E. Quevedo, Abimael Cruz-Migoni, Terence H. Rabbitts, Lihu Gong, Xiuli Liu, Xin Liu, Zachary R. Adam, Albert C. Fahrenbach, Dmitry Yu. Zubarev, Tomas Lindahl, Zhan Li, Chunmei Wang, An Wenzhen, Nathália Villa dos Santos, Carolina Leticia Zilli Vieira, Petros Koutrakis, Maria Luisa Astolfi, Lorenzo Massimi, Marcelo Enrique Conti, Joanna L. Denbigh, David Perez-Guaita, Bayden R. Wood, Philip Heraud, Katarzyna Maria Marzec, Bayden R. Wood, Tiina Belt, Michael Altgen, Lauri Rautkari, Junyi Li, Meiping Tian, Francis L. Martin",01 Jul 2024
/articles/s41467-023-43524-4,Engineering artificial photosynthesis based on rhodopsin for CO2 fixation,"Microbial rhodopsins are major contributors to global light harvesting on Earth, but their role in carbon fixation is unclear. Here, the authors construct an artificial photosynthesis system by combining rhodopsin with an extracellular electron uptake mechanism for photoelectrosynthetic CO2fixation inRalstonia eutropha.","nature, search, Sarah G. Heath, Shelby G. Gray, Christoph Göbl, Shang Dai, Zhenming Xie, Bing Tian, Noha A. M. Shendy, Melissa Bikowitz, Adam D. Durbin, Johannes Gregor Matthias Rack, Qiang Liu, Ivan Ahel, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Daniel R. Dempsey, Thibault Viennet, Philip A. Cole, Yi Zhang, Yiran Guo, Tatiana G. Kutateladze, Camilo E. Quevedo, Abimael Cruz-Migoni, Terence H. Rabbitts, Lihu Gong, Xiuli Liu, Xin Liu, Zachary R. Adam, Albert C. Fahrenbach, Dmitry Yu. Zubarev, Tomas Lindahl, Zhan Li, Chunmei Wang, An Wenzhen, Nathália Villa dos Santos, Carolina Leticia Zilli Vieira, Petros Koutrakis, Maria Luisa Astolfi, Lorenzo Massimi, Marcelo Enrique Conti, Joanna L. Denbigh, David Perez-Guaita, Bayden R. Wood, Philip Heraud, Katarzyna Maria Marzec, Bayden R. Wood, Tiina Belt, Michael Altgen, Lauri Rautkari, Junyi Li, Meiping Tian, Francis L. Martin",01 Jul 2024
/articles/s41594-021-00668-5,The structural basis of PTEN regulation by multi-site phosphorylation,"PTEN is a key cell signaling lipid phosphatase that is regulated by C-terminal phosphorylation. Biophysical methods were used to illuminate the structural basis for PTEN regulation, which involves a dynamic N-terminal helix that influences catalysis.","nature, search, Sarah G. Heath, Shelby G. Gray, Christoph Göbl, Shang Dai, Zhenming Xie, Bing Tian, Noha A. M. Shendy, Melissa Bikowitz, Adam D. Durbin, Johannes Gregor Matthias Rack, Qiang Liu, Ivan Ahel, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Daniel R. Dempsey, Thibault Viennet, Philip A. Cole, Yi Zhang, Yiran Guo, Tatiana G. Kutateladze, Camilo E. Quevedo, Abimael Cruz-Migoni, Terence H. Rabbitts, Lihu Gong, Xiuli Liu, Xin Liu, Zachary R. Adam, Albert C. Fahrenbach, Dmitry Yu. Zubarev, Tomas Lindahl, Zhan Li, Chunmei Wang, An Wenzhen, Nathália Villa dos Santos, Carolina Leticia Zilli Vieira, Petros Koutrakis, Maria Luisa Astolfi, Lorenzo Massimi, Marcelo Enrique Conti, Joanna L. Denbigh, David Perez-Guaita, Bayden R. Wood, Philip Heraud, Katarzyna Maria Marzec, Bayden R. Wood, Tiina Belt, Michael Altgen, Lauri Rautkari, Junyi Li, Meiping Tian, Francis L. Martin",01 Jul 2024
/articles/s41467-020-17098-4,Mechanistic insights into chromatin targeting by leukemic NUP98-PHF23 fusion,"Chromosomal NUP98-PHF23 translocation is associated with an aggressive form of AML. Here, the authors report the molecular mechanisms by which NUP98-PHF23 recognizes the histone mark H3K4me3 and provide evidence of a direct link between the association of NUP98-PHD finger chimeras with H3K4me3-rich regions and leukemic transformation.","nature, search, Sarah G. Heath, Shelby G. Gray, Christoph Göbl, Shang Dai, Zhenming Xie, Bing Tian, Noha A. M. Shendy, Melissa Bikowitz, Adam D. Durbin, Johannes Gregor Matthias Rack, Qiang Liu, Ivan Ahel, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Daniel R. Dempsey, Thibault Viennet, Philip A. Cole, Yi Zhang, Yiran Guo, Tatiana G. Kutateladze, Camilo E. Quevedo, Abimael Cruz-Migoni, Terence H. Rabbitts, Lihu Gong, Xiuli Liu, Xin Liu, Zachary R. Adam, Albert C. Fahrenbach, Dmitry Yu. Zubarev, Tomas Lindahl, Zhan Li, Chunmei Wang, An Wenzhen, Nathália Villa dos Santos, Carolina Leticia Zilli Vieira, Petros Koutrakis, Maria Luisa Astolfi, Lorenzo Massimi, Marcelo Enrique Conti, Joanna L. Denbigh, David Perez-Guaita, Bayden R. Wood, Philip Heraud, Katarzyna Maria Marzec, Bayden R. Wood, Tiina Belt, Michael Altgen, Lauri Rautkari, Junyi Li, Meiping Tian, Francis L. Martin",01 Jul 2024
/articles/s41467-018-05707-2,Small molecule inhibitors of RAS-effector protein interactions derived using an intracellular antibody fragment,"Intracellular antibodies can inhibit disease-relevant protein interactions, but inefficient cellular uptake limits their utility. Using a RAS-targeting intracellular antibody as a screening tool, the authors here identify small molecules that inhibit RAS-effector interactions and readily penetrate cells.","nature, search, Sarah G. Heath, Shelby G. Gray, Christoph Göbl, Shang Dai, Zhenming Xie, Bing Tian, Noha A. M. Shendy, Melissa Bikowitz, Adam D. Durbin, Johannes Gregor Matthias Rack, Qiang Liu, Ivan Ahel, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Daniel R. Dempsey, Thibault Viennet, Philip A. Cole, Yi Zhang, Yiran Guo, Tatiana G. Kutateladze, Camilo E. Quevedo, Abimael Cruz-Migoni, Terence H. Rabbitts, Lihu Gong, Xiuli Liu, Xin Liu, Zachary R. Adam, Albert C. Fahrenbach, Dmitry Yu. Zubarev, Tomas Lindahl, Zhan Li, Chunmei Wang, An Wenzhen, Nathália Villa dos Santos, Carolina Leticia Zilli Vieira, Petros Koutrakis, Maria Luisa Astolfi, Lorenzo Massimi, Marcelo Enrique Conti, Joanna L. Denbigh, David Perez-Guaita, Bayden R. Wood, Philip Heraud, Katarzyna Maria Marzec, Bayden R. Wood, Tiina Belt, Michael Altgen, Lauri Rautkari, Junyi Li, Meiping Tian, Francis L. Martin",01 Jul 2024
/articles/s41467-022-34431-1,CK2-mediated phosphorylation of SUZ12 promotes PRC2 function by stabilizing enzyme active site,"Here the authors identify SUZ12 as a cellular substate of casein kinase 2 (CK2), and show this phosphorylation changes the active site structure of Polycomb repressive complex 2 (PRC2) and promotes PRC2 function in cell identity maintenance during stem cell differentiation.","nature, search, Sarah G. Heath, Shelby G. Gray, Christoph Göbl, Shang Dai, Zhenming Xie, Bing Tian, Noha A. M. Shendy, Melissa Bikowitz, Adam D. Durbin, Johannes Gregor Matthias Rack, Qiang Liu, Ivan Ahel, Henricus T. S. Boschker, Perran L. M. Cook, Filip J. R. Meysman, Weiming Tu, Jiabao Xu, Wei E. Huang, Daniel R. Dempsey, Thibault Viennet, Philip A. Cole, Yi Zhang, Yiran Guo, Tatiana G. Kutateladze, Camilo E. Quevedo, Abimael Cruz-Migoni, Terence H. Rabbitts, Lihu Gong, Xiuli Liu, Xin Liu, Zachary R. Adam, Albert C. Fahrenbach, Dmitry Yu. Zubarev, Tomas Lindahl, Zhan Li, Chunmei Wang, An Wenzhen, Nathália Villa dos Santos, Carolina Leticia Zilli Vieira, Petros Koutrakis, Maria Luisa Astolfi, Lorenzo Massimi, Marcelo Enrique Conti, Joanna L. Denbigh, David Perez-Guaita, Bayden R. Wood, Philip Heraud, Katarzyna Maria Marzec, Bayden R. Wood, Tiina Belt, Michael Altgen, Lauri Rautkari, Junyi Li, Meiping Tian, Francis L. Martin",01 Jul 2024
